text,label
"Donald Trump says coronavirus is under control.",FAKE
"Scientists discovered a new element in the periodic table.",REAL
"Bill Gates is funding a microchip vaccine to track people.",FAKE
"NASA confirms water found on the sunlit surface of the Moon.",REAL
"COVID-19 vaccines contain tracking devices.",FAKE
"India successfully launches Chandrayaan-3 to explore the Moon.",REAL
"5G towers are causing COVID-19 spread.",FAKE
"Researchers develop a new AI that detects cancer early.",REAL
"Elon Musk buys Google and shuts it down.",FAKE
"WHO declares COVID-19 as a global pandemic.",REAL
